movie_id,tags,title,overview,cast,crew,popularity_log_norm,year,imdb_score,rt_score,top_recommendations
1452,superman return discov year absenc allow lex luthor walk free closest felt abandon move luthor plot ultim reveng could see million kill chang face planet forev well rid man steel adventur fantasi action sciencefict savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor brandonrouth kevinspacey katebosworth bryansing,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['BrandonRouth', 'KevinSpacey', 'KateBosworth']",['BryanSinger'],0.6015072952418603,2006,6.1,74.0,"[861, 2351, 806, 1272, 14, 7, 9, 106, 92, 230]"
10764,quantum solac continu adventur jame bond casino royal betray vesper woman love fight urg make latest mission person pursu determin uncov truth bond interrog mr white reveal organ blackmail vesper far complex danger anyon imagin adventur action thriller crime kill undercov secretag britishsecretservic danielcraig olgakurylenko mathieuamalr marcforst,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['DanielCraig', 'OlgaKurylenko', 'MathieuAmalric']",['MarcForster'],0.6921975416824667,2008,6.5,63.0,"[2, 3154, 1317, 1707, 1114, 29, 3810, 275, 145, 4035]"
58,captain jack sparrow work way blood debt ghostli davey jone also attempt avoid etern damnat adventur fantasi action witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",['GoreVerbinski'],0.7362865575636829,2006,7.4,53.0,"[1, 17, 197, 841, 811, 3361, 188, 24, 709, 1626]"
57201,texa ranger chase gang outlaw led butch cavendish gang ambush ranger seemingli kill one survivor found howev american indian name tonto nurs back health ranger don mask ride white stallion name silver team tonto bring unscrupul gang other ilk justic action adventur western texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto johnnydepp armiehamm williamfichtn goreverbinski,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['JohnnyDepp', 'ArmieHammer', 'WilliamFichtner']",['GoreVerbinski'],0.5774015488267528,2013,6.4,31.0,"[2284, 3292, 1231, 3253, 3494, 3256, 2877, 1639, 3393, 1006]"
49521,young boy learn extraordinari power earth young man journey discov came sent hero must emerg save world annihil becom symbol hope mankind action adventur fantasi sciencefict savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers henrycavil amyadam michaelshannon zacksnyd,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['HenryCavill', 'AmyAdams', 'MichaelShannon']",['ZackSnyder'],0.6801601647643889,2013,7.1,57.0,"[9, 61, 10, 2547, 1272, 861, 2351, 806, 240, 99]"
2454,one year incred adventur lion witch wardrob peter edmund luci susan pevensi return narnia aid young princ whose life threaten evil king miraz help color cast new charact includ trufflehunt badger nikabrik dwarf pevensi clan embark incred quest ensur narnia return right heir adventur famili fantasi basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld benbarn williammoseley annapopplewel andrewadamson,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['BenBarnes', 'WilliamMoseley', 'AnnaPopplewell']",['AndrewAdamson'],0.591273663359252,2008,6.5,66.0,"[63, 107, 274, 489, 3739, 932, 774, 232, 193, 38]"
24428,unexpect enemi emerg threaten global safeti secur nick furi director intern peacekeep agenc known h e l find need team pull world back brink disast span globe dare recruit effort begin sciencefict action adventur newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevan markruffalo josswhedon,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo']",['JossWhedon'],0.7348738718593234,2012,8.0,91.0,"[7, 26, 31, 78, 167, 180, 68, 92, 83, 64]"
1865,captain jack sparrow cross path woman past sure love ruthless con artist use find fabl fountain youth forc aboard queen ann reveng ship formid pirat blackbeard jack find unexpect adventur know fear blackbeard woman past adventur action fantasi sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnnydepp penélopecruz ianmcshan robmarshal,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['JohnnyDepp', 'PenélopeCruz', 'IanMcShane']",['RobMarshall'],0.7254081175608658,2011,6.6,32.0,"[12, 197, 841, 322, 1, 2499, 188, 3361, 46, 811]"
41154,agent j smith k tommi lee jone back time j seen inexplic thing year men black noth even alien perplex much wri retic partner k life fate planet put stake agent j travel back time put thing right j discov secret univers k never told secret reveal team young agent k josh brolin save partner agenc futur humankind action comedi sciencefict timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori willsmith tommyleejon joshbrolin barrysonnenfeld,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['WillSmith', 'TommyLeeJones', 'JoshBrolin']",['BarrySonnenfeld'],0.5859616237130093,2012,7.9,0.0,"[339, 2746, 148, 746, 1317, 1070, 342, 728, 1680, 73]"
122917,immedi event desol smaug bilbo dwarv tri defend erebor mountain treasur other claim men ruin laketown elv mirkwood meanwhil armi orc led azog defil march erebor fuel rise dark lord sauron dwarv elv men must unit hope middl earth fall bilbo hand action adventur fantasi corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri martinfreeman ianmckellen richardarmitag peterjackson,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",['PeterJackson'],0.7088834607554103,2014,7.4,59.0,"[22, 96, 260, 327, 326, 105, 339, 329, 302, 2044]"
1930,peter parker outcast high schooler abandon parent boy leav rais uncl ben aunt may like teenag peter tri figur got person today peter discov mysteri briefcas belong father begin quest understand parent disappear lead directli oscorp lab dr curt connor father former partner spider man set collis cours connor alter ego lizard peter make life alter choic use power shape destini becom hero action adventur fantasi lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting andrewgarfield emmaston rhysifan marcwebb,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['AndrewGarfield', 'EmmaStone', 'RhysIfans']",['MarcWebb'],0.6654362201328767,2012,6.9,71.0,"[38, 5, 157, 567, 30, 92, 141, 1162, 781, 14]"
20662,soldier robin happen upon die robert loxley promis return man sword famili nottingham assum robert ident romanc widow marion draw ire town sheriff king john henchman godfrey action adventur robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland russellcrow cateblanchett maxvonsydow ridleyscott,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['RussellCrowe', 'CateBlanchett', 'MaxvonSydow']",['RidleyScott'],0.5393285119139106,2010,6.6,43.0,"[1126, 801, 586, 176, 3405, 929, 932, 265, 290, 187]"
57158,dwarv bilbo gandalf success escap misti mountain bilbo gain one ring continu journey get gold back dragon smaug adventur fantasi elv dwarv orc hobbit dragon wizard swordandsorceri martinfreeman ianmckellen richardarmitag peterjackson,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",['PeterJackson'],0.6725774255674636,2013,7.8,74.0,"[96, 19, 260, 327, 158, 326, 739, 290, 1494, 2291]"
2268,overhear shock secret precoci orphan lyra belacqua trade carefre exist roam hall jordan colleg otherworldli adventur far north unawar part destini adventur fantasi england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel dakotabluerichard nicolekidman danielcraig chrisweitz,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['DakotaBlueRichards', 'NicoleKidman', 'DanielCraig']",['ChrisWeitz'],0.5583638501308105,2007,6.1,42.0,"[92, 774, 185, 173, 85, 69, 1649, 322, 2058, 2275]"
254,new york overli ambiti movi produc coerc cast hire ship crew travel mysteri skull island encount kong giant ape immedi smitten lead ladi adventur drama action filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur naomiwatt jackblack adrienbrodi peterjackson,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['NaomiWatts', 'JackBlack', 'AdrienBrody']",['PeterJackson'],0.6095512446376388,2005,7.2,84.0,"[3361, 56, 28, 188, 12, 102, 322, 1270, 2070, 2226]"
597,year later year old woman name rose dewitt bukat tell stori granddaught lizzi calvert brock lovett lewi bodin bobbi buell anatoli mikailavich keldysh life set april th ship call titan young rose board depart ship upper class passeng mother ruth dewitt bukat fianc caledon hockley meanwhil drifter artist name jack dawson best friend fabrizio de rossi win third class ticket ship game explain whole stori departur death titan first last voyag april th morn drama romanc thriller shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910 katewinslet leonardodicaprio francesfish jamescameron,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['KateWinslet', 'LeonardoDiCaprio', 'FrancesFisher']",['JamesCameron'],0.6810804028915763,1997,7.9,88.0,"[1528, 2084, 811, 17, 308, 768, 57, 102, 1567, 3914]"
271110,follow event age ultron collect govern world pass act design regul superhuman activ polar opinion amongst aveng caus two faction side iron man captain america caus epic battl former alli adventur action sciencefict civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d chrisevan robertdowneyjr. scarlettjohansson anthonyrusso joerusso,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson']","['AnthonyRusso', 'JoeRusso']",0.7814208042280721,2016,7.8,90.0,"[167, 83, 7, 31, 78, 16, 180, 46, 68, 721]"
44833,mankind beam radio signal space repli come planet g form sever alien craft splash water hawaii lieuten alex hopper weapon offic assign uss john paul jone part intern naval coalit becom world last hope surviv engag hostil alien forc unimagin strength take invad hopper must also tri live potenti brother fianc e father admir shane expect thriller action adventur sciencefict fight u.s.navi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditssting mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna peterberg,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['TaylorKitsch', 'AlexanderSkarsgård', 'Rihanna']",['PeterBerg'],0.6180821219173438,2012,5.8,34.0,"[771, 1300, 89, 534, 3910, 1184, 73, 1294, 166, 0]"
135397,twenti two year event jurass park isla nublar featur fulli function dinosaur theme park jurass world origin envis john hammond action adventur sciencefict thriller monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan colintrevorrow,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan']",['ColinTrevorrow'],0.8912947066224877,2015,6.9,72.0,"[669, 503, 474, 106, 1030, 92, 26, 54, 304, 2688]"
37724,bond latest assign goe grave wrong agent around world expos mi attack forc reloc agenc event caus author posit challeng gareth mallori new chairman intellig secur committe mi compromis insid left one alli trust bond take shadow aid field agent eve follow trail mysteri silva whose lethal hidden motiv yet reveal action adventur thriller spi secretag sociopath killer artgalleri britishsecretservic istanbulturkey imax uzi boobytrap impersonatingapoliceoffic macao danielcraig judidench javierbardem sammend,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['DanielCraig', 'JudiDench', 'JavierBardem']",['SamMendes'],0.6704486780363327,2012,7.8,92.0,"[2, 1317, 1707, 11, 4035, 1083, 145, 2026, 3161, 1061]"
558,peter parker go major ident crisi burn spider man decid shelv superhero alter ego leav citi suffer wake carnag left evil doc ock meantim parker still act feel mari jane watson girl love sinc childhood action adventur fantasi dualident loveofone'slif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain tobeymaguir kirstendunst jamesfranco samraimi,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",['SamRaimi'],0.5293867352903482,2004,7.5,93.0,"[5, 157, 20, 38, 781, 806, 26, 71, 416, 213]"
68721,toni stark world torn apart formid terrorist call mandarin start odyssey rebuild retribut action adventur sciencefict terrorist waronterror tennesse malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi robertdowneyjr. gwynethpaltrow doncheadl shaneblack,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",['ShaneBlack'],0.6441852461229253,2013,7.1,79.0,"[78, 68, 7, 26, 16, 180, 167, 92, 506, 64]"
12155,alic unpretenti individu year old betroth dunc english nobleman engag parti escap crowd consid whether go marriag fall hole garden spot unusu rabbit arriv strang surreal place call underland find world resembl nightmar child fill talk anim villain queen knight frumiou bandersnatch alic realiz reason conquer horrif jabberwocki restor right queen throne famili fantasi adventur basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d miawasikowska johnnydepp annehathaway timburton,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['MiaWasikowska', 'JohnnyDepp', 'AnneHathaway']",['TimBurton'],0.6457675837444437,2010,6.4,50.0,"[103, 2224, 3968, 79, 387, 3551, 115, 1234, 292, 122]"
36668,cure found treat mutat line drawn amongst x men brotherhood band power mutant organ xavier former alli magneto adventur action sciencefict thriller mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditssting hughjackman halleberri ianmckellen brettratn,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['HughJackman', 'HalleBerry', 'IanMcKellen']",['BrettRatner'],0.2331266628076762,2006,6.6,56.0,"[506, 46, 201, 64, 120, 99, 230, 26, 92, 68]"
62211,look relationship mike sulley day monster univers necessarili best friend anim famili monster dormitori game anim bestfriend univers scari aftercreditssting billycryst johngoodman stevebuscemi danscanlon,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['BillyCrystal', 'JohnGoodman', 'SteveBuscemi']",['DanScanlon'],0.664327826357877,2013,7.2,80.0,"[229, 528, 504, 2224, 1264, 1816, 886, 1643, 426, 86]"
8373,sam witwicki leav autobot behind normal life mind fill cryptic symbol decepticon target drag back transform war sciencefict action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditssting shialabeouf meganfox joshduhamel michaelbay,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['ShiaLaBeouf', 'MeganFox', 'JoshDuhamel']",['MichaelBay'],0.4622570069095519,2009,6.0,19.0,"[109, 36, 52, 92, 198, 4040, 125, 94, 1136, 26]"
